upedonid,MO,MOGr,LU,MOGrLU,rcasiteid,upedon,Sample_count,SOCstock5,SOCstock30,SOCstock100,total_thickness,SOC_count,Lab_count,Depth_to_R,Non-R_SampleCount,SOC_thickness,USE,RaCA_Id,Gen_lat,Gen_long
C1510C0901,15,1510,C,1510C,C1510C09,C1510C091,7,6.57939514600375,33.5105152933371,42.965543026975205,203,5,7,,7,160,100.0,C1510C09,31.43,-83.07
C1510F0201,15,1510,F,1510F,C1510F02,C1510F021,5,5.5712999280056295,24.507055991131395,41.6540756187459,150,5,5,,5,150,100.0,C1510F02,31.77,-87.31
C1510F0301,15,1510,F,1510F,C1510F03,C1510F031,5,6.7686311869867595,35.8782258349864,50.9416434292792,100,5,5,,5,100,100.0,C1510F03,31.04,-85.47
C1510F0401,15,1510,F,1510F,C1510F04,C1510F041,4,5.579572393382901,26.416760234195102,40.8660887164479,103,4,4,,4,103,100.0,C1510F04,31.26,-86.79
C1510F0501,15,1510,F,1510F,C1510F05,C1510F051,3,9.29934089827347,29.625585941462397,46.3120206975736,52,3,3,,3,52,100.0,C1510F05,33.44,-88.94
C1510F0601,15,1510,F,1510F,C1510F06,C1510F061,7,20.7027481084917,41.9898162315377,,190,5,7,,7,70,30.0,C1510F06,30.47,-90.25
C1510P0101,15,1510,P,1510P,C1510P01,C1510P011,4,10.7110406171318,28.591834685155202,47.3687522994775,100,4,4,,4,100,100.0,C1510P01,34.6,-89.05
C1510P0301,15,1510,P,1510P,C1510P03,C1510P031,6,11.3020041742784,52.6901265310927,67.16704609251799,200,6,6,,6,200,100.0,C1510P03,30.51,-85.04
C1510P0401,15,1510,P,1510P,C1510P04,C1510P041,5,5.414041779253781,22.3902782875977,38.269187869191796,106,5,5,,5,106,100.0,C1510P04,28.6,-82.0
C1510P0501,15,1510,P,1510P,C1510P05,C1510P051,6,13.788448515569401,80.86242524401291,106.807375527538,260,5,6,,6,169,100.0,C1510P05,30.7,-89.28
C1510P0801,15,1510,P,1510P,C1510P08,C1510P081,4,12.8608085944152,55.2743848678543,80.3673835540729,150,4,4,,4,150,100.0,C1510P08,31.97,-86.12
C1510R0101,15,1510,R,1510R,C1510R01,C1510R011,7,5.32767548613996,13.536249886168099,23.6089952378686,203,5,7,,7,114,100.0,C1510R01,26.98,-80.54
C1510R0201,15,1510,R,1510R,C1510R02,C1510R021,5,5.29615315291259,15.3185166688113,23.071692888984604,203,4,5,,5,127,100.0,C1510R02,27.22,-80.52
